Cliente;;;Data;;;Valores;;;;Orçamento;;Informações;;;;;;;;Nota Fiscal;;;Previsão de Recebimento na Conta;;Boletos (CNAB);;;;;;;;;;;;
Cód. do Cliente;Documento;Cliente;Lançamento;Vencimento;Pagamento;Valor;Valor Corrigido;Pago;Valor Pago;Número Orçamento;Versão Orçamento;Tipo;Histórico;Obs;Dias Carência;Juros/dia (%);Multa (%);Cod_portador;Portador;Modelo NF;Série NF;Nº NF;Previsão Banco;Previsão CC;Nosso Número;ID Integração Boleto (CNAB);Log Inclusão Boleto;Gerado Arquivo Remessa;Data Arquivo Remessa;Boleto Enviado E-mail;Boleto Data Envio E-mail;Boleto Impresso;Instrução Inclusão Boleto (CNAB);Boleto - Situação da Integração ;Título Espécie DOC;Data Efetivação de Crédito;Valor Taxa de Cobrança
220;13524-1/1;PRIME EQUIPAMENTOS DE BOMBEAMENTO LTDA;12/05/2025;09/06/2025;10/06/2025;1.143,96;1.143,96;Sim;1.143,96;613;;BOL;ORÇAMENTO Nº 613 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;55;1;13524;;;;;;Não;;Não;;Não;;;;;
333;TÍTULO;NEXT AGRO;30/04/2025;09/06/2025;10/06/2025;10.000,00;10.000,00;Sim;10.000,00;;;BOL;EXCEDENTE OBRA PATAMAR;Boleto referente ao serviço excedente da obra do patamar.;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
152;13509-1/1;DELTA - DELTA;08/05/2025;10/06/2025;10/06/2025;53,38;53,38;Sim;53,38;784;;DEP;ORÇAMENTO Nº 784 - TÍTULO:  - PED.: 4500787411 - PED. ITEM: 1;;0;0;0;0;;55;1;13509;;;;;;Não;;Não;;Não;;;;;
152;13488-1/1;DELTA - DELTA;06/05/2025;10/06/2025;10/06/2025;800,00;800,00;Sim;800,00;771;;DEP;ORÇAMENTO Nº 771 - TÍTULO:  - PED.: 4500786613 - PED. ITEM: 1;;0;0;0;0;;55;1;13488;;;;;;Não;;Não;;Não;;;;;
152;13493-1/1;DELTA - DELTA;06/05/2025;10/06/2025;10/06/2025;720,00;720,00;Sim;720,00;779;;DEP;ORÇAMENTO Nº 779 - TÍTULO:  - PED.: 4500787125 - PED. ITEM: 1;;0;0;0;0;;55;1;13493;;;;;;Não;;Não;;Não;;;;;
147;13465-1/1;DELTA - CONCEICAO;02/05/2025;10/06/2025;10/06/2025;200,00;200,00;Sim;200,00;763;;DEP;ORÇAMENTO Nº 763 - TÍTULO:  - PED.: 4500785897 - PED. ITEM: 1;;0;0;0;0;;55;1;13465;;;;;;Não;;Não;;Não;;;;;
153;13486-1/1;CITROSUCO S/A AGROINDUSTRIA;06/05/2025;10/06/2025;10/06/2025;2.537,72;2.537,72;Sim;2.537,72;724;;DEP;ORÇAMENTO Nº 724 - TÍTULO:  - PED.: 4700409572 - PED. ITEM: 1, 2;;0;0;0;0;;55;1;13486;;;;;;Não;;Não;;Não;;;;;
198;13463-1/1;VALE DO PONTAL ACUCAR E ALCOOL S.A.;02/05/2025;10/06/2025;10/06/2025;2.007,01;2.007,01;Sim;2.007,01;604;;BOL;ORÇAMENTO Nº 604 - TÍTULO:  - PED.: 4500040605 - PED. ITEM: 00010;;0;0;0;0;;55;1;13463;;;;;;Não;;Não;;Não;;;;;
277;13495-1/1;CANAPOLIS ACUCAR E ETANOL S.A.;07/05/2025;10/06/2025;10/06/2025;1.596,12;1.596,12;Sim;1.596,12;734;;DEP;ORÇAMENTO Nº 734 - TÍTULO:  - PED.: 4500041775 - PED. ITEM: 10;;0;0;0;0;;55;1;13495;;;;;;Não;;Não;;Não;;;;;
162;13406-3/3;VITAL BRASIL CHEMICAL IND. E COM. DE PROD. QUIMICOS S.A.;15/04/2025;10/06/2025;11/06/2025;6.248,69;6.248,69;Sim;6.248,69;;;BOL;ORÇAMENTO Nº 457 - TÍTULO:  - PED.: 292787;;0;0;0;0;;55;1;13406;;;;;;Não;;Não;;Não;;;;;
162;2854-3/3;VITAL BRASIL CHEMICAL IND. E COM. DE PROD. QUIMICOS S.A.;15/04/2025;10/06/2025;11/06/2025;2.976,66;2.976,66;Sim;2.976,66;;;BOL;ORÇAMENTO Nº 457 - TÍTULO:  - PED.: 292972;;0;0;0;0;;1;1;2854;;;;;;Não;;Não;;Não;;;;;
147;13511-1/1;DELTA - CONCEICAO;08/05/2025;10/06/2025;10/06/2025;200,00;200,00;Sim;200,00;793;;DEP;ORÇAMENTO Nº 793 - TÍTULO:  - PED.: 4500788517 - PED. ITEM: 1;;0;0;0;0;;55;1;13511;;;;;;Não;;Não;;Não;;;;;
152;13510-1/1;DELTA - DELTA;08/05/2025;10/06/2025;10/06/2025;1.440,00;1.440,00;Sim;1.440,00;783;;DEP;ORÇAMENTO Nº 783 - TÍTULO:  - PED.: 4500787462 - PED. ITEM: 1;;0;0;0;0;;55;1;13510;;;;;;Não;;Não;;Não;;;;;
152;13512-1/1;DELTA - DELTA;08/05/2025;10/06/2025;10/06/2025;200,00;200,00;Sim;200,00;794;;DEP;ORÇAMENTO Nº 794 - TÍTULO:  - PED.: 4500788507 - PED. ITEM: 1;;0;0;0;0;;55;1;13512;;;;;;Não;;Não;;Não;;;;;
162;2876-1/1;VITAL BRASIL CHEMICAL IND. E COM. DE PROD. QUIMICOS S.A.;12/05/2025;11/06/2025;12/06/2025;443,00;443,00;Sim;443,00;568;;BOL;ORÇAMENTO Nº 568 - TÍTULO:  - PED.: 295828;;0;0;0;0;;1;1;2876;;;;;;Não;;Não;;Não;;;;;
162;13525-1/1;VITAL BRASIL CHEMICAL IND. E COM. DE PROD. QUIMICOS S.A.;12/05/2025;11/06/2025;12/06/2025;1.221,25;1.221,25;Sim;1.221,25;568;;BOL;ORÇAMENTO Nº 568 - TÍTULO:  - PED.: 294112;;0;0;0;0;;55;1;13525;;;;;;Não;;Não;;Não;;;;;
305;13236-1/1;RAIZEN ENERGIA S.A;14/03/2025;12/06/2025;12/06/2025;466,04;466,04;Sim;466,04;591;;DEP;ORÇAMENTO Nº 591 - TÍTULO:  - PED.: 4509409828 - PED. ITEM: 10;;0;0;0;0;;55;1;13236;;;;;;Não;;Não;;Não;;;;;
305;13237-1/1;RAIZEN ENERGIA S.A;14/03/2025;12/06/2025;12/06/2025;1.296,65;1.296,65;Sim;1.296,65;583;;DEP;ORÇAMENTO Nº 583 - TÍTULO:  - PED.: 4509401914 - PED. ITEM: 10;;0;0;0;0;;55;1;13237;;;;;;Não;;Não;;Não;;;;;
91;13234-1/1;RAIZEN - JATAI;14/03/2025;12/06/2025;12/06/2025;283,01;283,01;Sim;283,01;573;;DEP;ORÇAMENTO Nº 573 - TÍTULO:  - PED.: 4509386363 - PED. ITEM: 10;;0;0;0;0;;55;1;13234;;;;;;Não;;Não;;Não;;;;;
368;13648-1/1;CORDOBA INDUSTRIAL LTDA;13/06/2025;13/06/2025;13/06/2025;66,00;66,00;Sim;66,00;957;;PIX;ORÇAMENTO Nº 957 - TÍTULO:  - PED.: 3156;;0;0;0;0;;55;1;13648;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;13/06/2025;13/06/2025;13/06/2025;0,05;0,05;Sim;0,05;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
365;ND;EDERSON PEREIRA DOS SANTOS;13/06/2025;13/06/2025;13/06/2025;500,00;500,00;Sim;500,00;;;DIN;REEMBOLSO UNIMED Dª MEZINA;Reembolso Unimed Dª Mezina ref. junho/2025;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
368;2901-1/1;CORDOBA INDUSTRIAL LTDA;13/06/2025;13/06/2025;13/06/2025;355,64;355,64;Sim;355,64;957;;PIX;ORÇAMENTO Nº 957 - TÍTULO:  - PED.: 3156;;0;0;0;0;;1;1;2901;;;;;;Não;;Não;;Não;;;;;
440;2909-1/1;RIO BONITO NORDESTE;18/06/2025;18/06/2025;12/06/2025;427,95;427,95;Sim;427,95;916;;PIX;ORÇAMENTO Nº 916 - TÍTULO:  - PED.: 0000005348;;0;0;0;0;;1;1;2909;;;;;;Não;;Não;;Não;;;;;
440;13671-1/1;RIO BONITO NORDESTE;18/06/2025;18/06/2025;12/06/2025;788,99;788,99;Sim;788,99;916;;PIX;ORÇAMENTO Nº 916 - TÍTULO:  - PED.: 0000005348;;0;0;0;0;;55;1;13671;;;;;;Não;;Não;;Não;;;;;
144;2878-1/1;TEREOS - OLIMPIA - CRUZ ALTA;16/05/2025;01/07/2025;13/06/2025;12.644,07;12.644,07;Sim;12.644,07;567;;DEP;ORÇAMENTO Nº 567 - TÍTULO:  - PED.: 4702461287;;0;0;0;0;;1;1;2878;;;;;;Não;;Não;;Não;;;;;
;;;;;;R$191.906,10 ;R$191.906,10 ;;R$191.906,10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
