;Fornecedor;;;Data;;;Valores;;;;Informações;;;;;;;Nota Fiscal;;
Não;154;NF: 82084;SELOBRAS IND E COM DE SELOS MECANICOS LTDA;05/05/2025;02/06/2025;02/06/2025;609,15;609,15;Sim;609,15;BOL;ENTRADA Nº : 825 SELOBRAS NF 82084 (PARC. 1/2);;DEP;0;0;0;55;2;82084
Não;46;NF: 103051;DIMETAL;05/05/2025;02/06/2025;02/06/2025;197,15;197,15;Sim;197,15;BOL;ENTRADA Nº : 822 DIMENTAL NF 103051 (PARC. 1/1);;DEP;0;0;0;55;1;103051
Não;437;JUROS;SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP;02/06/2025;02/06/2025;02/06/2025;0,03;0,03;Sim;0,03;DEB;JUROS CONTRATO ROTATIVO;;DEP;0;0;0;;;
Não;466;TARIFA BANCÁRIA;BANCO DO BRASIL S.A.;02/06/2025;02/06/2025;02/06/2025;15,00;15,00;Sim;15,00;DEB;TARIFA MANUT. CHEQUE;;DEP;0;0;0;;;
Não;388;NFS-E: 52202;VILLAGE HOTEL;03/06/2025;02/06/2025;02/06/2025;240,00;240,00;Sim;240,00;PIX;HOSPEDAGEM;Hospedagem viagem Nelson para Ponta Grossa/PR;DEP;0;0;0;;;
Não;450;NFS-E: 1204;VIBROSYSTEM;01/05/2025;02/06/2025;02/06/2025;2.700,00;2.700,00;Sim;2.700,00;BOL;ENTRADA Nº : 837 VIBROSYSTEM (PARC. 1/1);Serviço de balanceamento em 15 conjuntos girantes.;DEP;0;0;0;;;1204
Não;462;TELEFONE / CELULAR;TELEFONICA BRASIL S.A.;03/06/2025;03/06/2025;03/06/2025;419,92;419,92;Sim;419,92;BOL;TELEFONE / CELULAR - 03/06/2025;"Vivo - nº da conta: 0449480632
Referente ao mês: maio/2025";DEP;0;0;0;;;
Não;419;ND;MARINA CRISTINA MOREIRA;03/06/2025;03/06/2025;03/06/2025;350,00;350,00;Sim;350,00;PIX;SERVIÇO DE LIMPEZA;Serviço de limpeza obra patamar (Santo Expedito).;DEP;0;0;0;;;
Não;154;NF: 81803;SELOBRAS IND E COM DE SELOS MECANICOS LTDA;22/04/2025;03/06/2025;03/06/2025;893,01;893,01;Sim;893,01;BOL;ENTRADA Nº : 787 ORDEM DE COMPRA: 503 (PARC. 2/2);;DEP;0;0;0;55;2;81803
Não;154;NF: 82132;SELOBRAS IND E COM DE SELOS MECANICOS LTDA;06/05/2025;03/06/2025;03/06/2025;1.570,77;1.570,77;Sim;1.570,77;BOL;ENTRADA Nº : 826 SELOBRAS NF 82132 (PARC. 1/1);;DEP;0;0;0;55;2;82132
Não;18;NF: 75127;VALMAC;08/04/2025;03/06/2025;03/06/2025;2.511,75;2.511,75;Sim;598,65;BOL;ENTRADA Nº : 732 (PARC. 3/3);;DEP;0;0;0;55;3;75127
Não;548;TARIFA BANCÁRIA;BANCO ITAÚ;03/06/2025;03/06/2025;03/06/2025;55,00;55,00;Sim;55,00;DEB;TARIFA COBRANÇA BOLETOS;;DEP;0;0;0;;;
Não;423;ND;CARTÃO DE CRÉDITO/DÉBITO - BANCO DO BRASIL;03/06/2025;03/06/2025;03/06/2025;100,00;100,00;Sim;100,00;C D;REFEIÇÃO CAIO / HELDER;RESTAURANTE J.SOUZA (REFEIÇÃO CAIO/HELDER - VIAGEM JF CITRUS);DEP;0;0;0;;;
Não;466;TARIFA BANCÁRIA;BANCO DO BRASIL S.A.;04/06/2025;04/06/2025;04/06/2025;5,00;5,00;Sim;5,00;DEB;TARIFA MENSAL PROGR. RELACIONAMENTO;;DEP;0;0;0;;;
Não;466;TARIFA BANCÁRIA;BANCO DO BRASIL S.A.;04/06/2025;04/06/2025;04/06/2025;10,00;10,00;Sim;10,00;DEB;TARIFA PIX;;DEP;0;0;0;;;
Não;675;NFS-E;LEONARDO GIOVANINI PERTICARRARI;04/06/2025;04/06/2025;04/06/2025;2.500,00;2.500,00;Sim;2.500,00;PIX;SERVIÇO - LICENÇAS AMBIENTAIS;Pagamento 50% do Serviço de Responsabilidade Técnica ref. Licenças Ambientais.;DEP;0;0;0;;;
Não;675;ND;LEONARDO GIOVANINI PERTICARRARI;04/06/2025;04/06/2025;04/06/2025;2.428,32;2.428,32;Sim;2.428,32;PIX;TAXAS LICENÇAS AMBIENTAIS; Licença Prévia e de Instalação (Taxas, Certidões, Ibama, PGRS e Deslocamentos);DEP;0;0;0;;;
Não;341;NF: 1135450;SMC;07/05/2025;04/06/2025;04/06/2025;788,42;788,42;Sim;788,42;BOL;ENTRADA Nº : 830 SMC NF 1135450 (PARC. 1/1);;DEP;0;0;0;55;4;1135450
Não;28;NF: 49485;PARADA DA SOLDA - LOJA 001;15/05/2025;04/06/2025;04/06/2025;157,00;157,00;Sim;157,00;BOL;ENTRADA Nº : 847 PARADA SOLDA NF 49485 (PARC. 1/1);;DEP;0;0;0;55;1;49485
Não;283;NFS-E: 752;CHIARI INFORMATICA;23/05/2025;04/06/2025;04/06/2025;85,00;85,00;Sim;85,00;BOL;ACESSO REMOTO;Configuração notebook do Naldo por acesso remoto.;DEP;0;0;0;;;
Não;486;HOLERITE;NATHAN LUIS MORAES;05/06/2025;05/06/2025;05/06/2025;1.560,35;1.560,35;Sim;1.560,35;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.785,64 (190:40 horas normais diurnas) + 535,70 (36:40 horas DSR diurnas) + 128,93 (05:53 horas extras 50% diurnas) + 24,79 (01:41 DSR s/horas extras diurnas)
- 1.328,54 (desconto adiantamento salarial) - 275,76 (mensalidade plano de saúde) - 310,41 (INSS) = 1.560,35.
";DEP;0;0;0;;;
Não;491;PRO-LABORE;NALDO JOSÉ DA SILVA;04/06/2025;05/06/2025;05/06/2025;1.351,02;1.351,02;Sim;1.351,02;DEP;PRO-LABORE 05/2025;Pro Labore 05/2025 (1.518,00 - 166,98 Inss  = 1.351,02).               ;DEP;0;0;0;;;
Não;507;NFS-E: 3;CLEYTON DA ROCHA GUSMÃO;31/05/2025;05/06/2025;05/06/2025;310,00;310,00;Sim;310,00;PIX;ENTRADA Nº : 941 CLEYTON ELET. NFS-E 3 (PARC. 1/1);Execução de serviços de elétrica com passagem de fiação, instalação e manutenção de peças e equipamentos na MECFLU.;DEP;0;0;0;;;3
Não;507;NFS-E: 4;CLEYTON DA ROCHA GUSMÃO;31/05/2025;05/06/2025;05/06/2025;2.585,00;2.585,00;Sim;2.585,00;BOL;ENTRADA Nº : 942 CLEYTON ELET. NFS-E 4 (PARC. 1/1);Serviço de instalação elétrica projeto Santo Expedito.;DEP;0;0;0;;;4
Não;373;NF: 296;HARTSTARK COMERCIO E DISTRIBUICAO DE MATERIAIS DUROS LTDA;07/03/2025;05/06/2025;05/06/2025;13.207,69;13.207,69;Sim;13.207,69;BOL;ENTRADA Nº : 621 (PARC. 3/4);;DEP;0;0;0;55;2;296
Não;76;NF: 298181;ELETRICA NICOLUCCI LTDA;08/05/2025;05/06/2025;05/06/2025;652,05;652,05;Sim;652,05;BOL;ENTRADA Nº : 833 (PARC. 1/1);;DEP;0;0;0;55;1;298181
Não;468;HOLERITE;CAIO HENRIQUE DE PAIVA CHAVES;05/06/2025;05/06/2025;05/06/2025;3.086,98;3.086,98;Sim;3.086,98;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
3.850,00 (183,20 horas normais diurnas) + 770,00 (36:40 horas DSR diurnas) + 154,00 (07:20 horas Lic.Médica diurnas) + 157,50 (05:00 horas extras 50% diurnas) + 30,29 (01:26 DSR s/horas extras diurnas) 
- 1.322,99 (pensão alimentícia) - 47,59 (IRRF) - 504,23 (INSS) = 3.086,98.";DEP;0;0;0;;;
Não;469;HOLERITE;CARLOS CESAR GOMES;05/06/2025;05/06/2025;05/06/2025;3.685,71;3.685,71;Sim;3.685,71;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
4.234,00 (30 dias normais diurnas) + 76,02 (02:38 horas extras 50% diurnas) + 14,62 (00:45 DSR s/horas extras diurnas) 
- 60,44 (mensalidade plano odontológico) - 163,46 (IRRF) - 415,03 (INSS) = 3.685,71.";DEP;0;0;0;;;
Não;471;HOLERITE;DIEGO MARTINS NETO;05/06/2025;05/06/2025;05/06/2025;3.336,57;3.336,57;Sim;3.336,57;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
3.027,78 (190:40 horas normais diurnas) + 582,27 (36:40 horas DSR diurnas) + 326,00 (vale transporte)
- 216,60 (vale transporte) - 56,27 (IRRF) - 326,61 (INSS) = 3.336,57.";DEP;0;0;0;;;
Não;472;HOLERITE;DOUGLAS GUSTAVO DOS SANTOS;05/06/2025;05/06/2025;05/06/2025;2.598,08;2.598,08;Sim;2.598,08;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.646,25 (30 dias normais diurnas) + 326,00 (vale transporte) - 158,78 (vale transporte) - 215,39 (INSS) = 2.598,08";DEP;0;0;0;;;
Não;474;HOLERITE;EDUARDO ROBERTO PIRES;05/06/2025;05/06/2025;05/06/2025;1.554,31;1.554,31;Sim;1.554,31;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.911,33 (183:20 horas normais diurnas) + 582,27 (36:40 horas DSR diurnas) + 116,45 (07:20 horas Lic.Médica diurnas) 
- 164,00 (desconto SESI)  - 1.444,02 (desconto adiantamento salarial) - 121,11 (mensalidade plano odontológico) - 326,61 (INSS) = 1.554,31.";DEP;0;0;0;;;
Não;475;HOLERITE;ELIEL GARCIA GOMES;05/06/2025;05/06/2025;05/06/2025;1.786,57;1.786,57;Sim;1.786,57;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.800,00 (30 dias normais diurnas) + 349,05 (18:17 horas extras 50% diurnas) + 67,13 (05:16 DSR s/horas extras diurnas)
- 1.120,00 (desconto adiantamento salarial) - 30,27 (mensalidade plano odontológico) - 279,34 (INSS) = 1.786,57.
";DEP;0;0;0;;;
Não;478;HOLERITE;HELDER MELICO BETIN;05/06/2025;05/06/2025;05/06/2025;1.360,99;1.360,99;Sim;1.360,99;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025:
2.320,42 (190:40 horas normais diurnas) + 446,23 (36:40 horas DSR diurnas) + 87,62 (04:48 horas extras 50% diurnas) + 16,85 (01:23 DSR s/horas extras diurnas)
- 1.106,66 (desconto adiantamento salarial) - 92,22 (1 dia falta diurna) - 92,22 (1 dia DSR falta diurna) - 219,03 (INSS) = 1.360,99";DEP;0;0;0;;;
Não;479;HOLERITE;JÁCOMO GUILHERME FRANCISCO DA SILVA;05/06/2025;05/06/2025;05/06/2025;2.141,89;2.141,89;Sim;2.141,89;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.328,71 (30 dias normais diurnas) - 186,81 (INSS) = 2.141,89.
";DEP;0;0;0;;;
Não;480;HOLERITE;JOAQUIM FRANCISCO DA SILVA;05/06/2025;05/06/2025;05/06/2025;1.200,48;1.200,48;Sim;1.200,48;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
1.643,54 (190:40 horas normais diurnas) + 316,07 (36:40 horas DSR diurnas) + 192,23 (14:52 horas extras 50% diurnas) + 36,97 (04:17 DSR s/horas extras diurnas)
- 783,84 (desconto adiantamento salarial) - 30,27 (mensalidade plano odontológico) - 174,22 (INSS) = 1.200,48.
";DEP;0;0;0;;;
Não;481;HOLERITE;JUNIO CORDEIRO;05/06/2025;05/06/2025;05/06/2025;2.769,47;2.769,47;Sim;2.769,47;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
3.175,50 (30 dias normais diurnas) - 121,11 (mensalidade plano odontológico) - 10,46 (IRRF) - 274,46 (INSS) = 2.769,47.
";DEP;0;0;0;;;
Não;482;HOLERITE;KERLLY CRISTINA DO NASCIMENTO SANTOS;05/06/2025;05/06/2025;05/06/2025;2.419,33;2.419,33;Sim;2.419,33;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.700,00 (30 dias normais diurnas) - 60,44 (mensalidade plano odontológico) - 220,23 (INSS) = 2.419,33.
";DEP;0;0;0;;;
Não;487;HOLERITE;NELSON JOSÉ DA SILVA;05/06/2025;05/06/2025;05/06/2025;5.873,24;5.873,24;Sim;5.873,24;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
6.383,25 (30 dias normais diurnas) + 846,50 (auxilio saúde) - 653,28 (IRRF) - 703,23 (INSS) = 5.873,24.
";DEP;0;0;0;;;
Não;488;HOLERITE;WELTON JOSE DOS SANTOS;05/06/2025;05/06/2025;05/06/2025;1.804,45;1.804,45;Sim;1.804,45;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
1.580,33 (183,20 horas normais diurnas) + 316,07 (36:40 horas DSR diurnas) + 63,21 (07:20 horas Lic. Médica diurnas)
- 1,72 (00:12 horas faltas diurnas) - 153,44 (INSS) = 1.804,45.
";DEP;0;0;0;;;
Não;483;HOLERITE;LAÍNE MIRELY FERREIRA PEREIRA;05/06/2025;05/06/2025;05/06/2025;2.042,06;2.042,06;Sim;2.042,06;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
2.219,00 (30 dias normais diurnas) - 176,94 (INSS) = 2.042,06.
";DEP;0;0;0;;;
Não;485;HOLERITE;MURILO CESAR SIQUEIRA BARROS;05/06/2025;05/06/2025;05/06/2025;1.809,76;1.809,76;Sim;1.809,76;DEP;SALÁRIO - MAIO/2025;"Salário referente Maio/2025.
1.643,54 (190:40 horas normais diurnas) + 316,07 (36:40 horas DSR diurnas) + 3,45 (00:16 horas extras 50% diurnas) + 0,66 (00:04 DSR s/horas extras diurnas) - 153,96 (INSS) = 1.809,76.
";DEP;0;0;0;;;
Não;484;HOLERITE;MARISTELA PEREIRA DA SILVA;04/06/2025;05/06/2025;05/06/2025;2.654,26;2.654,26;Sim;2.654,26;DEP;SALÁRIO 05/2025;Salário 05/2025 R$ 2.895,07  - 240,81 Inss = 2.654,26.                         ;DEP;0;0;0;;;
Não;82;NF: 15492;MARCA  COM. DE PECAS LTDA;15/05/2025;05/06/2025;05/06/2025;304,80;304,80;Sim;304,80;BOL;ENTRADA Nº : 849 MARCA PEÇAS NF 15492 (PARC. 1/1);;DEP;0;0;0;55;1;15492
Não;469;ND;CARLOS CESAR GOMES;05/06/2025;05/06/2025;05/06/2025;1.058,50;1.058,50;Sim;1.058,50;PIX;DIFERENÇA SALÁRIO - MAIO/2025;Diferença de salário referente Maio/2025.;DEP;0;0;0;;;
Não;483;ND;LAÍNE MIRELY FERREIRA PEREIRA;05/06/2025;05/06/2025;05/06/2025;740,95;740,95;Sim;740,95;PIX;DIFERENÇA SALÁRIO - MAIO/2025;Diferença de salário referente Maio/2025.;DEP;0;0;0;;;
Não;465;ND;JUAREZ FELIX PEREIRA;05/06/2025;05/06/2025;05/06/2025;2.000,00;2.000,00;Sim;2.000,00;PIX;SERVIÇO DE REPRESENTAÇÃO COMERCIAL - MAIO/2025;Serviço Prestado de Representação referente maio/2025. ;DEP;0;0;0;;;
Não;465;ND;JUAREZ FELIX PEREIRA;05/06/2025;05/06/2025;05/06/2025;1.300,00;1.300,00;Sim;1.300,00;PIX;AJUDA DE CUSTO - MAIO/2025;Ajuda de Custo referente maio/2025.;DEP;0;0;0;;;
Não;484;ND;MARISTELA PEREIRA DA SILVA;04/06/2025;05/06/2025;05/06/2025;2.094,35;2.094,35;Sim;2.094,35;PIX;DIFERENÇA SALÁRIO 05/2025;;DEP;0;0;0;;;
Não;443;PRO-LABORE;EDERSON PEREIRA DOS SANTOS;04/06/2025;05/06/2025;05/06/2025;4.826,69;4.826,69;Sim;4.826,69;PIX;PRO-LABORE 05/2025;Pro Labore 05/2025 (6.072,00 - 667,92 Inss - 577,39 IRRF = 4.826,69).           ;DEP;0;0;0;;;
Não;491;SALÁRIO 05/2025;NALDO JOSÉ DA SILVA;04/06/2025;05/06/2025;05/06/2025;5.000,00;5.000,00;Sim;5.000,00;DEP;SALÁRIO 05/2025;"Salário Maio/2025 R$ 13.400,61 + 1.078,33 DIF INSS/IRRF(Ederson) + 910,80 Dif.Inss(20% na Folha) = 
15.389,74 - 1.351,02  Pro Labore = 14.038,72.; BAIXA PARCIAL - Valor Corrigido Original: 14038,72";DEP;0;0;0;;;
Não;423;CARTÃO DE CRÉDITO BB;CARTÃO DE CRÉDITO - BANCO DO BRASIL;05/06/2025;05/06/2025;05/06/2025;2.569,31;2.569,31;Sim;2.569,31;C C;CARTÃO DE CRÉDITO BB - 05/06/2025;"Cartão de crédito BB - Nelson.
Refeição | Combustível | R$ 20,00 Conserto pneu do carro e R$ 100,00 lavagem do carro | Tarifa.";DEP;0;0;0;;;
Não;40;NF: 4065;SOLUÇÃO MOLAS;01/05/2025;05/06/2025;05/06/2025;858,17;858,17;Sim;858,17;BOL;ENTRADA Nº : 816 SOLUÇAO MOLAS NF 4065 (PARC. 2/3);;DEP;0;0;0;55;1;4065
Não;491;SALÁRIO 05/2025;NALDO JOSÉ DA SILVA;04/06/2025;05/06/2025;05/06/2025;9.038,72;9.038,72;Sim;9.038,72;DEP;DIFERENÇA - SALÁRIO 05/2025;;DEP;0;0;0;;;
Não;121;NF: 114436;SICHIERI FERRAMENTAS;16/05/2025;05/06/2025;05/06/2025;102,50;102,50;Sim;102,50;BOL;ENTRADA Nº : 852 (PARC. 1/1);;DEP;0;0;0;55;1;114436
Não;468;COMISSÃO;CAIO HENRIQUE DE PAIVA CHAVES;05/06/2025;05/06/2025;05/06/2025;1.000,00;1.000,00;Sim;1.000,00;DEP;COMISSÃO;Comissão referente faturamento CFTI - NFS-e: 2877 e NF 13530.;DEP;0;0;0;;;
Não;443;SALÁRIO 05/2025;EDERSON PEREIRA DOS SANTOS;04/06/2025;05/06/2025;05/06/2025;8.315,76;8.315,76;Sim;8.315,76;PIX;SALÁRIO 05/2025;Salário Maio/2025 R$13.400,61 (13.400,61 + 477,14 reembolso dif. plano saúde Naldo + 30,00 Fator moderador = 13.907,75 - 4.826,69 Pro Labore - 430,30 Unimed Dª Mezina - 335,00 excedente km Localiza (parc.2/6) = 8.315,76). ;DEP;0;0;0;;;
Não;419;ND;MARINA CRISTINA MOREIRA;05/06/2025;05/06/2025;05/06/2025;1.190,00;1.190,00;Sim;1.190,00;PIX;SERVIÇO DE LIMPEZA;Limpeza: 170,00 x 7 faxinas = 1.190,00.;DEP;0;0;0;;;
Não;653;ESTÁGIO;NÍCOLAS OTÁVIO DA SILVA BARIZON LAMOURIER;06/06/2025;06/06/2025;05/06/2025;506,67;506,67;Sim;506,67;PIX;BOLSA ESTÁGIO;Bolsa auxílio proporcional 19 dias referente Maio/2025.;DEP;0;0;0;;;
Não;651;NFS-E: 4225;HMPX INTELIGENCIA FISCAL TRIBUTARIA E EMPRESARIAL LTDA;02/06/2025;06/06/2025;06/06/2025;3.754,00;3.754,00;Sim;3.754,00;DEP;CONTABILIDADE - MAIO/2025;Serviços prestados referentes a contabilidade - Maio/2025.;DEP;0;0;0;;;
Não;82;NF: 15477;MARCA  COM. DE PECAS LTDA;09/05/2025;06/06/2025;06/06/2025;1.294,90;1.294,90;Sim;1.294,90;BOL;ENTRADA Nº : 835 MARCA SELOS 15477 (PARC. 1/1);;DEP;0;0;0;55;1;15477
Não;34;NF: 99176;R.A. DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI ME;30/05/2025;06/06/2025;06/06/2025;74,20;74,20;Sim;74,20;BOL;ENTRADA Nº : 934 TRIEX NF 99176 (PARC. 1/1);;DEP;0;0;0;55;1;99176
Não;429;NFS-E 86;16.901.478 MARCELO EURI NOVAES;03/06/2025;06/06/2025;06/06/2025;1.500,00;1.500,00;Sim;1.500,00;PIX;MARKETING - MAIO/2025;"Mensalidade referente maio/2025.
PIX CNPJ: 16.901.478/0001-22 ou CPF: 388.079.818-40. ";DEP;0;0;0;;;
Não;487;FÉRIAS;NELSON JOSÉ DA SILVA;06/06/2025;06/06/2025;06/06/2025;3.884,92;3.884,92;Sim;3.884,92;DEP;FÉRIAS;"Férias = 16 dias
Período Aquisitivo: 01/08/2023 à 31/07/2024.
Período Descanso: 09/06/2025 à 24/06/2025. 
3.404,40 (16 dias) + 1.134,80 (1/3 s/ férias) - 209,21 (IRRF s/ férias) - 445,07 (INSS s/ férias) = 3.884,92. ";DEP;0;0;0;;;
Não;432;ND;LOCALIZA RENT A CAR S/A;22/05/2025;06/06/2025;06/06/2025;136,67;136,67;Sim;136,67;BOL;MULTA;"Multa Junio
Carro: Cronos Drive; Placa: TDF3D72; Data da Infração: 05/05/2025 às 11h:28;
Local da Infração: SP 322 KM 341 - Sertãozinho/SP; Infração: Excesso de velocidade em até 20%.";DEP;0;0;0;;;
Não;632;NF: 1538;VALCONBR VALVULAS E CONEXOES LTDA;07/05/2025;06/06/2025;06/06/2025;883,98;883,98;Sim;883,98;BOL;ENTRADA Nº : 823 VALCONBR NF1538 (PARC. 1/1);;DEP;0;0;0;55;1;1538
Não;677;NF: 10;MEC USINAGEM;03/06/2025;06/06/2025;06/06/2025;180,00;180,00;Sim;180,00;PIX;ENTRADA Nº : 965 MEC USINAGEM NFS- E 10 (PARC. 1/1);;DEP;0;0;0;;;10
Não;656;NFS-E: 5131;FAGUNDES ENGENHARIA E CONSTRUÇOES LTDA;06/06/2025;06/06/2025;06/06/2025;41,60;41,60;Sim;41,60;C D;ENTRADA Nº : 982 FAGUNDES NFS-E 5131 (PARC. 1/1);;DEP;0;0;0;;;5131
Não;90;NF: 43057;SUPREMA FERRAMENTAS;07/06/2025;06/06/2025;06/06/2025;78,86;78,86;Sim;78,86;SEM;ENTRADA Nº : 989 (PARC. 1/2);;DEP;0;0;0;55;1;43057
Não;640;ND;LETÍCIA BEZERRA DE CARVALHO;06/06/2025;06/06/2025;05/06/2025;1.322,99;1.322,99;Sim;1.322,99;PIX;PENSÃO ALIMENTÍCIA - MAIO/2025;Pagamento referente pensão alimentícia.;DEP;0;0;0;;;
Não;430;NF: 519;2 G METALMECANICA LTDA;29/05/2025;07/06/2025;09/06/2025;80,00;80,00;Sim;80,00;BOL;ENTRADA Nº : 922 2G  NF 519 (PARC. 1/1);Rosca 1 1/2bps em Tubo Inox (Orçamento 460).;DEP;0;0;0;55;1;519
Não;423;CARTÃO DE CRÉDITO BB;CARTÃO DE CRÉDITO/DÉBITO - BANCO DO BRASIL;07/06/2025;07/06/2025;09/06/2025;16,83;16,83;Sim;16,83;DEB;CARTÃO DE CRÉDITO BB - 07/06/2025;"Cartão de crédito BB:
Tarifa.";DEP;0;0;0;;;
Não;417;CT-E: 140087;TRANSPORTADORA JOELMA;16/05/2025;08/06/2025;09/06/2025;617,69;617,69;Sim;617,69;BOL;ENTRADA Nº : 948 JOELMA CT-E 140087 (PARC. 1/1);;DEP;0;0;0;;;140087
Não;530;NF: 133;INOX DUO TUBOS E CONEXOES DE AÇO LTDA;26/05/2025;09/06/2025;09/06/2025;672,00;672,00;Sim;672,00;BOL;ENTRADA Nº : 908 INOX DUO NF 133 (PARC. 1/1);;DEP;0;0;0;55;1;133
Não;76;NF: 298346;ELETRICA NICOLUCCI LTDA;12/05/2025;09/06/2025;09/06/2025;483,55;483,55;Sim;483,55;BOL;ENTRADA Nº : 839 NICOLUCCI NF 298346 (PARC. 1/1);;DEP;0;0;0;55;1;298346
Não;65;NF: 38763;BRASOLDAS;19/05/2025;09/06/2025;09/06/2025;603,00;603,00;Sim;603,00;BOL;ENTRADA Nº : 874 BRASOLDAS NF 38763 (PARC. 1/1);;DEP;0;0;0;55;1;38763
Não;425;CARTÃO DE CRÉDITO ITAÚ;CARTÃO DE CRÉDITO BANCO ITAÚ;09/06/2025;09/06/2025;09/06/2025;2.146,80;2.146,80;Sim;2.146,80;BOL;CARTÃO DE CRÉDITO ITAÚ - 09/06/2025;"Cartão de Crédito Itaú - Naldo.
Recrutamento e seleção de estágiários (ADM) - parcela 07/12;
Recrutamento e seleção de estágiários (Produção) - parcela 05/12;
R$ 380,00 Cortinas para o comercial, salas Naldo e Ederson (parcela 05/10) - NF 3;
R$ 449,37 Celular Naldo (parcela 02/10) / -R$ 0,45 desconto celular Naldo;
E.P.I.: Óculos de proteção com lente;
Refeição;
Uso e Consumo: pote para colocar cappuccino;
HDI Seguros - Seguro Saveiro (parcela 01/10);
Combustível.


";DEP;0;0;0;;;
